sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR7142464	56215	33041	58.78	32733	30841	54.86	8577	15.26
SRR7142465	52546	37295	70.98	36978	35778	68.09	9956	18.95
SRR7142466	45406	33840	74.53	33431	31242	68.81	10511	23.15
SRR7142467	37667	27008	71.7	26421	22149	58.8	6619	17.57
SRR7142468	57519	43454	75.55	43258	42034	73.08	13363	23.23
SRR7142469	55836	42004	75.23	41653	39517	70.77	12513	22.41
SRR7142470	58132	42713	73.48	42491	40808	70.2	13821	23.78
SRR7142471	54185	40433	74.62	40131	37861	69.87	12060	22.26
SRR7142472	55431	43853	79.11	43572	42354	76.41	11620	20.96
SRR7142473	59645	46865	78.57	46465	43828	73.48	10380	17.4
SRR7142474	35672	27962	78.39	27820	26973	75.61	5019	14.07
SRR7142475	53812	42248	78.51	41931	40134	74.58	7956	14.78
SRR7142476	30816	22212	72.08	22177	22155	71.89	11069	35.92
SRR7142477	44979	32776	72.87	32748	32719	72.74	20564	45.72
SRR7142478	52796	30328	57.44	29901	27694	52.45	5299	10.04
SRR7142479	50729	29673	58.49	29442	27642	54.49	8118	16
SRR7142480	53744	33962	63.19	33475	30362	56.49	13433	24.99
SRR7142481	36685	22435	61.16	22084	19849	54.11	6004	16.37
SRR7142482	54879	41014	74.74	40770	39296	71.6	11302	20.59
SRR7142483	51338	39662	77.26	39390	38020	74.06	13394	26.09
SRR7142484	57510	44467	77.32	44407	43575	75.77	13740	23.89
SRR7142485	32051	23561	73.51	23517	23292	72.67	10883	33.96
SRR7142486	47209	28684	60.76	28259	25967	55	8153	17.27
SRR7142487	55904	34699	62.07	34485	33589	60.08	10500	18.78
SRR7142488	55250	40330	73	40141	38737	70.11	11815	21.38
SRR7142489	63154	38574	61.08	38298	36234	57.37	11063	17.52
SRR7142490	36914	27372	74.15	27140	25763	69.79	6056	16.41
SRR7142491	61050	38464	63	38100	35788	58.62	10185	16.68
SRR7142492	59883	36820	61.49	36525	35240	58.85	16339	27.28
SRR7142493	63561	48647	76.54	48194	44981	70.77	12791	20.12
SRR7142494	38074	22780	59.83	22427	20187	53.02	5126	13.46
SRR7142495	54476	32913	60.42	32722	31037	56.97	13212	24.25
SRR7142496	52455	32447	61.86	31830	28733	54.78	11951	22.78
SRR7142497	43023	24990	58.09	24566	22783	52.96	5364	12.47
SRR7142498	40072	24363	60.8	23984	21500	53.65	6427	16.04
SRR7142499	52869	30634	57.94	30365	28679	54.25	8426	15.94
SRR7142500	33083	25927	78.37	25756	24867	75.17	9651	29.17
SRR7142501	41443	32856	79.28	32385	30395	73.34	6665	16.08
SRR7142502	39832	24702	62.02	24398	22645	56.85	6065	15.23
SRR7142503	60918	45829	75.23	45378	43266	71.02	13461	22.1
SRR7142504	43571	32185	73.87	31702	28622	65.69	9302	21.35
SRR7142505	48620	36302	74.66	35463	31076	63.92	10312	21.21
SRR7142506	48009	27743	57.79	27578	26255	54.69	6743	14.05
SRR7142507	55991	34258	61.18	33992	32132	57.39	7370	13.16
SRR7142508	24856	14190	57.09	14094	13627	54.82	4931	19.84
SRR7142509	50892	28676	56.35	28515	27870	54.76	5987	11.76
SRR7142510	37661	22254	59.09	21996	20128	53.45	8141	21.62
SRR7142511	38429	22504	58.56	22355	21816	56.77	9322	24.26
SRR7142512	60474	44916	74.27	44454	41539	68.69	10065	16.64
SRR7142513	59537	44822	75.28	44490	42039	70.61	11701	19.65
SRR7142514	55812	38742	69.42	38434	36260	64.97	10310	18.47
SRR7142515	40235	29142	72.43	28902	27704	68.86	8323	20.69
SRR7142516	59378	34928	58.82	34513	31651	53.3	7324	12.33
SRR7142517	52394	28872	55.11	28662	27465	52.42	9261	17.68
SRR7142518	51440	40105	77.96	39804	38040	73.95	14164	27.53
SRR7142519	62485	49423	79.1	49090	47900	76.66	17542	28.07
SRR7142520	49085	29754	60.62	29346	27600	56.23	11801	24.04
SRR7142521	53038	31761	59.88	31549	30551	57.6	9424	17.77
SRR7142522	36178	20745	57.34	20642	20041	55.4	7580	20.95
SRR7142523	50882	30119	59.19	29794	28290	55.6	9230	18.14
SRR7142524	52302	29375	56.16	29159	27646	52.86	6214	11.88
SRR7142525	41877	25714	61.4	25444	23764	56.75	5923	14.14
SRR7142526	35760	26224	73.33	26196	26172	73.19	18891	52.83
SRR7142527	54934	39693	72.26	39356	37615	68.47	11454	20.85
SRR7142528	57795	43092	74.56	42762	40378	69.86	10388	17.97
SRR7142529	52457	37387	71.27	36752	33603	64.06	11481	21.89
SRR7142530	60150	36802	61.18	36482	34677	57.65	7525	12.51
SRR7142531	59216	46947	79.28	46605	45582	76.98	12102	20.44
SRR7142532	52314	38753	74.08	38601	37928	72.5	15682	29.98
